Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C18, C2, C20, C25, C27, C3, C36, C4, C40, C48, C5, C6, C7, C8, C9",0402,19,100n,C307331
"C12, C16, C17, C19, C29",0402,5,4u7,C23733
"C14, C15",0402,2,15p,C1548
C21,0805,1,10u,C15850
"C22, C30, C31, C32, C43",0805,5,22u,C45783
C23,1206,1,10u,C13585
C24,1206,1,22u,C12891
"C26, C28",0402,2,2u2,C12530
"C33, C34, C35, C37, C41, C42",0402,6,1u,C52923
"C38, C39, C44, C45, C46, C47",0402,6,10u,C15525
"D1, D10, D11",0603,3,BLUE,C965804
D12,0805,1,RED,C965804
"D13, D14",0805,2,GREEN,C965804
"D15, D16",0805,2,AMBER,C965804
D2,0603,1,AMBER,C965804
"D3, D4, D5, D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812,
"FB3, FB4, FB5, FB6",0805,4,600R@100MHz,C1017
J1,PinHeader_1x03_P2.54mm_Vertical,1,SWD-DAPLink,
J10,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,Conn_01x40,C19273935
"J11, J12",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
J13,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,
J14,PinHeader_1x02_P2.54mm_Vertical,1,Through Hole,
J15,PinSocket_1x11_P2.54mm_Vertical,1,Conn_01x09_Pin,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,C2988369
J3,PinSocket_1x02_P2.54mm_Vertical,1,L Channel,
J4,PinSocket_1x02_P2.54mm_Vertical,1,R Channel,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JST,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Pack Temp,
J7,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,C720616
J8,PinHeader_1x05_P2.54mm_Vertical,1,Inputs,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Button Pulls,
"JP1, JP10, JP11, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,11,Jumper_2_Open,
L1,AOTA-B201610S3R3-101-T,1,3u3,C42411119
L2,"Ceaiya SMD,6x6mm CR6028-2R2N",1,2u2,C520367
"Q1, Q2",SOT-23,2,NMOS,C427390
Q3,SOT-23,1,NTR1P02T1G,C129192
"R1, R2",0603,2,27R,
"R10, R18, R35",0805,3,10k,C17414
R11,0805,1,2k2,C17520
R12,0805,1,330R,C17630
"R13, R14, R15, R16, R19, R20, R27, R49, R50, R51, R52, R53, R54, R7, R9",0805,15,1k,C17513
R17,0805,1,47k,C17713
"R21, R22, R36, R37, R38, R39, R40, R47, R48, R55, R56, R57, R59, R60",0402,14,10k,C25744
R23,0805,1,15k,C17475
R24,0805,1,4k7,C17673
"R25, R26, R28, R29, R30, R31, R32, R33",0402,8,220R,C25091
R3,0402,1,1k,C11702
"R34, R8",0805,2,10k,
R4,0402,1,33R,C25105
"R41, R42",0805,2,5M1,
R43,0805,1,100k,C149504
"R44, R45, R46",0603,3,2R,C22977
"R5, R6",0402,2,5k1,C25905
R58,0402,1,20k,C25765
RV1,RES3_91A_TTE,1,R_Potentiometer,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,NRST,C2681476
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,NRST,
SW3,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,BOOTSEL,C2681476
"SW7, SW8",SW_Slide_SPDT_Angled_CK_OS102011MA1Q,2,SW_SPDT,
U1,RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm,1,RP2350B-QFN80,C42415655
"U10, U11",MSOP-8_3x3mm_P0.65mm,2,PAM8302AAS,C113367
U2,WSON-6_1.5x1.5mm_P0.5mm,1,BQ29700DSER,C183096
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24073RGT,C15220
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ESP-PSRAM64,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,
U8,SOT-23-6,1,TLV61070ADBV,C6881375
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3 [12MHz],C20625731
